text,movement,style,year,corpus,var
"  Он постучал пальцем по радиопередатчику, покосился на небо, где ныли немецкие бомбардировщики.   ― Вы из Москвы, девушка? ― спросил он.   ― Да, ― ответила она. ",0,0,1960,0,из
" Когда Степан Фёдорович через штаб стоявшей поблизости 64-й армии связывался с Москвой по телефону ВЧ и заместитель наркома говорил: ""Товарищ Спиридонов, передайте привет из Москвы героическому коллективу, который вы возглавляете"", Степану Федоровичу становилось неловко, ― где уж там героизм. ",1,0,1960,0,из
"  ― Да ещё сообщение из Москвы ― о ликвидации Коминтерна, что ли. ",1,1,1960,0,из
"  ― Вот что, товарищ Мостовской, ― медленно сказал Осипов. ― От вас секретов у нас нет.  Здесь находится заброшенный из Москвы товарищ.  Могу назвать его ― Котиков. ",1,1,1960,0,из
"  Он стал рассказывать Новикову слышанные от старого товарища, секретаря обкома, новости, ― тот накануне вернулся из Москвы, где был принят одним из тех людей, что в дни праздников поднимаются на мавзолей, но не стоят на мавзолее возле микрофона, рядом со Сталиным. ",1,0,1960,0,из
" Мне говорили, что неожиданно запросили из Москвы о его результатах. ",1,0,1960,0,из
"  ―Вот-вот, совершенно верно, ― сказал Бова, ― в сорок первом году двух полковников к нам в армию из Москвы прислали проверить этот самый приказ ""Ни шагу назад"". ",1,0,1960,0,из
" Я увидел деревни, умирающие голодной смертью, я увидел крестьянских детей, умирающих в сибирском снегу, я видел эшелоны, везущие в Сибирь сотни и тысячи мужчин и женщин из Москвы, Ленинграда, из всех городов России, объявленных врагами великой и светлой идеи общественного добра. ",0,0,1960,0,из
"  Люди забывали, что некоторые, не попавшие в эшелоны в роковые октябрьские дни 1941 года, бросали чемоданы и узлы, пешком уходили на Загорск, лишь бы вырваться из Москвы. ",1,0,1960,0,из
"  Главная суть двух таких противоположных состояний ― страстной тяги из Москвы и страстной тяги в Москву ― состояла в том, что год прошедшей войны преобразовал сознание людей, и мистический страх перед немцами сменился уверенностью в превосходстве русской советской силы. ",1,0,1960,0,из
  ― Давно ли вы имели письмо из Москвы? ― спросил Каримов. ,1,1,1960,0,из
"  ― Вот как, ― сказал Каримов и улыбнулся. ― А интересно, как долго идут письма из Москвы? ",1,1,1960,0,из
"  ― Только, ради Бога, я вам ничего не рассказывала, ― подведя Женю к двери, осмелев, соседка зашептала: ― Такой был хороший человек, добровольцем на войну пошёл.   Новикову она из Москвы не писала.   Какая смута в душе! ",1,1,1960,0,из
"  Слегка выпивший полковник Филимонов, накануне прибывший из Москвы в штаб Сталинградского фронта, стоял вместе с прикомандированным к нему переводчиком на пункте сдачи частей дивизии генерала Веллера. ",1,0,1960,0,из
